"CC",,"SP_Allowance_1","SP_Allowance_2","SP_Allowance_3","SP_Fee_1","SP_Fee_2","Sp_Fee_3","SP_Fee_4","Num_Carers_1","Num_Carers_2","Num_Carers_3","Num_Carers_4","Number of children/young people in placements (at 31 March)","Number of disabled children/young people (at 31 March)^",,"White (at 31 March)","Mixed (at 31 March)","Asian/Asian British (at 31 March)","Black/Black British (at 31 March)","Other ethnic groups (at 31 March)","Not known (at 31 March)",,"Number of CYP considered to be at risk of CSE",,"Number of children/young people who went ‘missing’ while living with foster carers","Number of instances children/young people went ‘missing’ while living with foster carers",,"Less than 24 hours","One to six days","One week to 28 days","Longer than 28 days","Bullying","Involvement in offending behaviour","Substance misuse","Contact with family or friends","Alleged abuse within the foster home","Because they are an asylum seeker","Suspected sexual exploitation","Any other known reason","Reason unknown",,"Number of return home interviews conducted","Number of missing children/young people with no return home interview",,"Number of children experiencing unplanned endings","Number of children experiencing placement moves within 24 hours of unplanned ending notification",,"Transferred to LA fostering placement","Transferred to IFA fostering placement","Transferred to other type of looked after placement (e.g. children's home, adoption)","No longer looked after","Staying put","Not staying put","Reason unknown",,"Number of young people in foster care who became 18","Number of young people in foster care who became 18 and remained living with their former foster carer",,"Groups assessed","Siblings assessed","Groups placed to plan","Siblings placed to plan","Groups NOT placed to plan","Siblings NOT placed to plan",,"Total approved carers ","White","Mixed","Asian/Asian British","Black/Black British","Other ethnic groups","Not known","Number of individual foster carers who had completed the TSD Standards","Number of individual foster carers who were awaiting sign-off on the TSD Standards","Number of individual foster carers who were in progress completing the TSD Standards","Number of individual foster carers who had not yet commenced the TSD Standards","Number of individual foster carers with TSD Standards training status unknown",,"Total approved households",,"Permanent foster care","Non-permanent foster care","Emergency","Family and Friends","Parent and child","Multi-dimensional treatment","Remand","Other","Fostering to adopt","Short breaks","Shared care","Not known",,"Number of households with exemptions to the usual fostering limit in place at any time during the year",,"Number of households approved for one CYP","Number of households approved for two CYP","Number of households approved for three CYP","Number of households approved for four or more CYP","Number of approved foster places","Number of filled places","Number of vacant places","Number of places not available",,"Number of initial enquiries from new prospective fostering households","Total number of applications received from prospective fostering households between 1 April and 31 March","Number of applications approved","Number of applications withdrawn by applicants","Number of applications withdrawn by services","Number of applications rejected after being presented to panel","Number of applications which remained in progress on 31 March",,"Total number of households approved in year","Of which, number of family and friends households approved in year ~",,"Deregistered to facilitate a transfer to a local authority","Deregistered to facilitate a transfer to an independent fostering agency","Deregistration initiated by the fostering service","Deregistration initiated by the foster carer","Deregistration for unknown reason","Total households deregistered between 1 April and 31 March""",,"Number of applications for a review to the IRM","Number of which resulted in a recommendation being made to review the decision",,"Number of allegations against foster carers by fostered children","Number of allegations against foster carers by other sources","Total number of allegations made","Number of children made allegations against foster carers","Number of foster carers subject to allegations","Physical abuse","Sexual abuse","Neglect","Emotional abuse","Concerns resolved, no further action","Continued monitoring for agreed period","Concern remained, refer to fostering panel for review","Less than 21 working days","22-30 working days (4-6 weeks)","31-50 working days (6-10 weeks)","More than 50 working days (more than 10 weeks)",,"Number of referrals to the Disclosure and Barring Service (DBS)","Number of referrals to the local authority child protection team","Number of Section 47 enquiries",,"Number of recorded incidents of physical restraint by foster carers","Number of CYP subject to restraint","Number of households that restrained CYP",,"CYP (complaints made)","CYP (complaints not upheld)","Foster carers (complaints made)","Foster carers (complaints not upheld)","CYP's social workers (complaints made)","CYP's social workers (complaints not upheld)","Other professionals (complaints made)","Other professionals (complaints not upheld)","CYP's parents (complaints made)","CYP's parents (complaints not upheld)","Others (complaints made)","Others (complaints not upheld)","Total complaints (complaints made)","Total complaints (complaints not upheld)"
"England",,,,,,,,,,,,,54870,5180,,41860,5165,2480,3650,1270,445,,2765,,6395,27085,,3105,2100,760,430,40,115,110,3285,20,75,220,1210,1325,,11995,2460,,5815,1775,,2965,3680,6615,11660,1880,1885,835,,3770,1880,,4495,11230,4045,9890,450,1340,,75260,62485,935,3895,5610,655,1680,53365,945,10635,7655,2655,,44450,,15425,18230,245,6930,355,600,20,235,335,1415,640,25,,1785,,14535,15470,13075,870,88370,54870,16080,15845,,127850,9740,2415,2470,1290,60,3500,,8400,3290,,240,360,2910,5365,55,8925,,235,90,,1745,960,2705,1730,2650,1570,175,430,530,1535,450,705,1385,360,335,615,,90,1395,745,,995,645,540,,290,130,445,185,140,70,160,70,190,90,215,95,1435,630
"North East",,,,,,,,,,,,,2990,210,,2770,80,35,45,45,15,,65,,240,1135,,115,95,25,5,10,5,5,75,0,0,5,45,90,,620,55,,110,60,,0,120,385,1040,65,30,5,,90,65,,470,1160,435,1040,35,120,,3920,3790,20,40,10,15,50,2575,30,385,705,220,,2330,,750,780,5,715,0,0,0,0,15,45,15,0,,100,,845,805,495,70,4235,2990,550,580,,1760,205,80,35,0,5,80,,600,460,,0,5,365,395,0,770,,5,0,,40,20,55,40,60,35,5,5,15,35,10,10,30,10,5,10,,5,20,10,,10,5,10,,5,0,10,5,0,0,0,0,5,0,5,5,25,15
"Darlington","*",247.47,,,75,90,100,150,2,1,1,1,100,5,,90,5,0,0,0,0,,0,,10,20,,5,0,0,0,0,0,0,5,0,0,0,5,0,,20,0,,15,5,,0,15,15,35,5,0,0,,5,5,,35,75,35,75,0,0,,135,130,0,0,0,0,5,60,0,25,50,0,,85,,10,40,0,35,0,0,0,0,0,0,0,0,,10,,30,30,20,5,165,100,40,25,,85,10,0,0,0,0,5,,20,20,,0,5,35,5,0,40,,0,0,,5,0,5,0,5,5,0,0,0,5,0,0,0,0,0,0,,0,5,5,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Durham",,201.5,,,,,,,12,,,,535,35,,525,10,0,0,0,0,,5,,10,30,,5,5,0,0,0,0,0,10,0,0,0,0,0,,25,0,,20,5,,0,0,0,195,15,0,0,,15,15,,60,155,60,150,5,5,,660,645,5,0,0,0,10,435,0,85,135,0,,385,,130,125,0,125,0,0,0,0,0,0,0,0,,0,,135,110,90,20,715,535,95,85,,0,25,20,5,0,0,0,,115,90,,0,0,5,100,0,105,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gateshead","*",220,,,,,,,17,,,,295,10,,265,15,5,10,0,0,,10,,45,335,,30,10,5,0,10,0,5,0,0,0,5,0,30,,110,20,,10,10,,0,0,85,70,10,10,0,,20,10,,25,55,20,45,5,10,,370,365,0,0,0,0,0,245,15,25,85,0,,215,,65,85,0,45,0,0,0,0,0,5,10,0,,15,,70,75,60,5,425,295,15,90,,145,15,5,0,0,0,5,,50,30,,0,0,60,20,0,80,,0,0,,10,0,10,10,10,0,0,0,5,5,0,5,5,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hartlepool","*",134.9,,,226,,,,15,,,,205,10,,195,0,0,0,0,5,,0,,25,120,,10,10,5,0,0,0,0,10,0,0,0,0,10,,105,0,,0,0,,0,5,10,55,5,0,0,,5,5,,15,50,15,45,0,5,,240,215,0,0,0,5,20,135,0,20,5,75,,145,,65,35,0,40,0,0,0,0,0,0,0,0,,5,,50,65,20,10,275,205,75,0,,30,10,10,0,0,0,0,,20,15,,0,0,30,10,0,40,,0,0,,5,0,5,5,5,0,0,0,0,0,5,0,0,5,0,0,,0,5,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Middlesbrough",,215,,,,,,,,,,,125,5,,105,15,0,5,0,0,,0,,5,70,,5,5,0,0,0,0,0,0,0,0,0,0,5,,70,0,,0,0,,0,5,35,5,5,0,0,,5,5,,45,120,35,90,10,30,,210,200,0,5,0,0,0,195,0,15,0,0,,125,,30,75,0,15,0,0,0,0,0,0,0,0,,5,,40,60,20,5,235,125,5,65,,215,25,5,0,0,0,20,,10,5,,0,0,5,5,0,10,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Newcastle upon Tyne","*",,,,,,,,,,,,410,70,,335,10,20,10,35,0,,15,,35,120,,20,15,5,0,0,5,0,10,0,0,0,15,5,,100,0,,0,0,,0,40,50,135,5,0,0,,5,5,,115,265,115,265,0,0,,570,520,5,25,5,5,5,340,5,40,180,5,,360,,195,15,0,140,0,0,0,0,0,10,5,0,,5,,120,105,85,5,605,410,150,50,,305,20,15,0,0,0,10,,125,105,,0,0,0,65,0,65,,0,0,,5,0,5,5,5,5,0,0,0,5,0,0,0,0,0,0,,0,0,0,,5,5,5,,0,0,0,0,0,0,0,0,0,0,0,0,5,5
"North Tyneside",,141.68,,,,,,,,,,,215,5,,200,0,0,5,5,5,,5,,25,80,,10,10,0,0,0,0,0,0,0,0,0,20,5,,30,10,,10,5,,0,5,40,60,0,10,0,,10,0,,25,75,25,65,0,5,,270,265,5,0,0,0,0,200,0,35,35,0,,165,,35,70,0,60,0,0,0,0,0,0,0,0,,5,,70,45,45,5,310,215,5,85,,170,30,0,10,0,0,15,,40,35,,0,0,30,45,0,75,,0,0,,5,0,5,5,5,5,0,0,0,5,0,0,5,0,0,0,,0,0,0,,0,0,0,,0,0,5,0,0,0,0,0,0,0,0,0,10,5
"Northumberland",,,,,161.13,,,,11,,,,235,25,,230,5,0,0,0,0,,20,,20,160,,5,10,5,5,0,0,0,0,0,0,0,0,20,,85,5,,10,10,,0,0,5,90,5,0,0,,5,5,,30,65,25,55,5,10,,295,295,0,0,0,0,0,180,0,20,75,20,,170,,55,65,5,50,0,0,0,0,0,0,0,0,,5,,65,70,25,5,300,235,25,30,,435,5,5,0,0,0,0,,35,20,,0,0,35,15,0,50,,0,0,,0,0,5,0,5,5,0,0,0,5,0,0,5,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
