"year","ccode","id","age","housing_costs","earnings","benefits","employment_status","skill_level"
2015,"E06000005",1,40,0.0,0.0,0.0,0,2
2016,"E06000005",1,41,0.0,0.0,0.0,0,2
2017,"E06000005",1,42,0.0,0.0,0.0,0,2
2015,"E06000005",2,40,0.0,0.0,0.0,0,2
2016,"E06000005",2,41,0.0,0.0,0.0,0,2
2017,"E06000005",2,42,0.0,0.0,0.0,0,2
2015,"E06000005",4,40,0.0,0.0,0.0,0,2
2016,"E06000005",4,41,0.0,0.0,0.0,0,2
2016,"E06000005",7,40,0.0,0.0,0.0,0,2
2017,"E06000005",7,41,0.0,0.0,0.0,0,2
2018,"E06000005",7,42,0.0,0.0,0.0,0,2
2016,"E06000005",10,40,0.0,0.0,0.0,0,4
2017,"E06000005",10,41,0.0,0.0,0.0,0,4
2018,"E06000005",10,42,0.0,0.0,0.0,0,4
2017,"E06000005",11,40,0.0,0.0,0.0,0,2
2018,"E06000005",11,41,0.0,0.0,0.0,0,2
2019,"E06000005",11,42,0.0,0.0,0.0,0,2
2017,"E06000005",12,40,0.0,0.0,0.0,0,2
2017,"E06000005",13,40,0.0,0.0,0.0,0,3
2017,"E06000005",15,40,0.0,0.0,0.0,0,4
2018,"E06000005",16,40,0.0,0.0,0.0,0,5
2019,"E06000005",16,41,0.0,0.0,0.0,0,5
2018,"E06000005",17,40,0.0,0.0,0.0,0,5
2019,"E06000005",17,41,0.0,0.0,0.0,0,5
2018,"E06000005",20,40,0.0,0.0,0.0,0,2
2019,"E06000005",20,41,0.0,0.0,0.0,0,2
2019,"E06000005",21,40,0.0,0.0,0.0,0,2
2020,"E06000005",21,41,0.0,0.0,0.0,0,2
2019,"E06000005",23,40,0.0,0.0,0.0,0,3
2019,"E06000005",24,40,0.0,0.0,0.0,0,2
2020,"E06000005",24,41,0.0,0.0,0.0,0,2
2020,"E06000005",26,40,0.0,0.0,0.0,0,5
2020,"E06000005",28,40,0.0,0.0,0.0,0,2
2021,"E06000005",28,41,0.0,0.0,0.0,0,2
2020,"E06000005",30,40,0.0,0.0,0.0,0,2
2021,"E06000005",30,41,0.0,0.0,0.0,0,2
2022,"E06000005",30,42,0.0,0.0,0.0,0,2
2021,"E06000005",31,40,0.0,0.0,0.0,0,3
2022,"E06000005",31,41,0.0,0.0,0.0,0,3
2021,"E06000005",33,40,0.0,0.0,0.0,0,5
2022,"E06000005",33,41,0.0,0.0,0.0,0,5
2023,"E06000005",33,42,0.0,0.0,0.0,0,5
2021,"E06000005",34,40,0.0,0.0,0.0,0,3
2022,"E06000005",40,40,0.0,0.0,0.0,0,4
2023,"E06000005",40,41,0.0,0.0,0.0,0,4
2023,"E06000005",44,40,0.0,0.0,0.0,0,3
2024,"E06000005",44,41,0.0,0.0,0.0,0,3
2023,"E06000005",45,40,0.0,0.0,0.0,0,1
2024,"E06000005",45,41,0.0,0.0,0.0,0,1
2024,"E06000005",47,40,0.0,0.0,0.0,0,1
2024,"E06000005",48,40,0.0,0.0,0.0,0,2
2025,"E06000005",48,41,0.0,0.0,0.0,0,2
2024,"E06000005",49,40,0.0,0.0,0.0,0,3
2024,"E06000005",50,40,0.0,0.0,0.0,0,4
2025,"E06000005",50,41,0.0,0.0,0.0,0,4
2026,"E06000005",50,42,0.0,0.0,0.0,0,4
2025,"E06000005",51,40,0.0,0.0,0.0,0,1
2025,"E06000005",52,40,0.0,0.0,0.0,0,2
2026,"E06000005",52,41,0.0,0.0,0.0,0,2
2027,"E06000005",52,42,0.0,0.0,0.0,0,2
2025,"E06000005",53,40,0.0,0.0,0.0,0,3
2025,"E06000005",54,40,0.0,0.0,0.0,0,3
2015,"E06000047",56,40,0.0,0.0,0.0,0,3
2016,"E06000047",56,41,0.0,0.0,0.0,0,3
2015,"E06000047",57,40,0.0,0.0,0.0,0,5
2016,"E06000047",57,41,0.0,0.0,0.0,0,5
2015,"E06000047",59,40,0.0,0.0,0.0,0,3
2016,"E06000047",59,41,0.0,0.0,0.0,0,3
2015,"E06000047",60,40,0.0,0.0,0.0,0,2
2016,"E06000047",60,41,0.0,0.0,0.0,0,2
2017,"E06000047",60,42,0.0,0.0,0.0,0,2
2015,"E06000047",61,40,0.0,0.0,0.0,0,3
2016,"E06000047",61,41,0.0,0.0,0.0,0,3
2017,"E06000047",61,42,0.0,0.0,0.0,0,3
2015,"E06000047",65,40,0.0,0.0,0.0,0,5
2015,"E06000047",67,40,0.0,0.0,0.0,0,5
2016,"E06000047",67,41,0.0,0.0,0.0,0,5
2017,"E06000047",67,42,0.0,0.0,0.0,0,5
2015,"E06000047",68,40,0.0,0.0,0.0,0,3
2016,"E06000047",68,41,0.0,0.0,0.0,0,3
2015,"E06000047",69,40,0.0,0.0,0.0,0,2
2015,"E06000047",70,40,0.0,0.0,0.0,0,2
2015,"E06000047",71,40,0.0,0.0,0.0,0,3
2015,"E06000047",72,40,0.0,0.0,0.0,0,5
2015,"E06000047",74,40,0.0,0.0,0.0,0,3
2016,"E06000047",74,41,0.0,0.0,0.0,0,3
2015,"E06000047",75,40,0.0,0.0,0.0,0,5
2015,"E06000047",78,40,0.0,0.0,0.0,0,3
2016,"E06000047",78,41,0.0,0.0,0.0,0,3
2015,"E06000047",79,40,0.0,0.0,0.0,0,3
2016,"E06000047",79,41,0.0,0.0,0.0,0,3
2017,"E06000047",79,42,0.0,0.0,0.0,0,3
2015,"E06000047",83,40,0.0,0.0,0.0,0,1
2016,"E06000047",83,41,0.0,0.0,0.0,0,1
2017,"E06000047",83,42,0.0,0.0,0.0,0,1
2015,"E06000047",84,40,0.0,0.0,0.0,0,4
2016,"E06000047",84,41,0.0,0.0,0.0,0,4
2015,"E06000047",87,40,0.0,0.0,0.0,0,1
2016,"E06000047",87,41,0.0,0.0,0.0,0,1
2017,"E06000047",87,42,0.0,0.0,0.0,0,1
2016,"E06000047",90,40,0.0,0.0,0.0,0,1
2017,"E06000047",90,41,0.0,0.0,0.0,0,1
2016,"E06000047",93,40,0.0,0.0,0.0,0,1
2017,"E06000047",93,41,0.0,0.0,0.0,0,1
2016,"E06000047",95,40,0.0,0.0,0.0,0,2
2017,"E06000047",95,41,0.0,0.0,0.0,0,2
2016,"E06000047",96,40,0.0,0.0,0.0,0,1
2017,"E06000047",96,41,0.0,0.0,0.0,0,1
2016,"E06000047",98,40,0.0,0.0,0.0,0,5
