"year","ccode","carer","age","housing_costs","earnings","benefits","employment_status"
2015,"E06000005",1,18,65.20090241267978,0.0,54.5862758237418,NEET
2016,"E06000005",1,19,66.15350807578886,0.0,55.38379845845334,NEET
2017,"E06000005",1,20,66.18003521777497,0.0,55.40600701440406,NEET
2015,"E06000005",2,18,65.20090241267978,231.920964639732,0.0,TrainingOrEmployment
2016,"E06000005",2,19,66.15350807578886,235.3094027768484,0.0,TrainingOrEmployment
2017,"E06000005",2,20,66.18003521777497,235.40376037207943,0.0,TrainingOrEmployment
2015,"E06000005",4,18,65.20090241267978,0.0,54.5862758237418,NEET
2016,"E06000005",4,19,66.15350807578886,0.0,55.38379845845334,NEET
2016,"E06000005",7,18,65.22704756576739,0.0,0.0,OtherEd
2017,"E06000005",7,19,65.25320320289747,0.0,0.0,OtherEd
2018,"E06000005",7,20,65.68365647465745,0.0,0.0,OtherEd
2016,"E06000005",10,18,65.22704756576739,0.0,54.6081645781161,NEET
2017,"E06000005",10,19,65.25320320289747,0.0,54.630062109743676,NEET
2018,"E06000005",10,20,65.68365647465745,0.0,54.99043811915537,NEET
2017,"E06000005",11,18,65.65732829765156,0.0,54.9683961369312,NEET
2018,"E06000005",11,19,66.09044744573177,0.0,55.331004021282396,NEET
2019,"E06000005",11,20,67.86374097643456,0.0,56.8156075497847,NEET
2017,"E06000005",12,18,65.65732829765156,0.0,54.9683961369312,NEET
2017,"E06000005",13,18,65.65732829765156,0.0,54.9683961369312,NEET
2017,"E06000005",15,18,65.65732829765156,0.0,54.9683961369312,NEET
2018,"E06000005",16,18,67.41900067260494,239.81078623839002,0.0,TrainingOrEmployment
2019,"E06000005",16,19,69.22794103175964,246.24522468244007,0.0,TrainingOrEmployment
2018,"E06000005",17,18,67.41900067260494,0.0,56.4432704195235,NEET
2019,"E06000005",17,19,69.22794103175964,0.0,57.95771751672064,NEET
2018,"E06000005",20,18,67.41900067260494,0.0,56.4432704195235,NEET
2019,"E06000005",20,19,69.22794103175964,0.0,57.95771751672064,NEET
2019,"E06000005",21,18,69.159,0.0,57.9,NEET
2020,"E06000005",21,19,70.94390651422862,0.0,59.39432593261667,NEET
2019,"E06000005",23,18,69.159,0.0,57.9,NEET
2019,"E06000005",24,18,69.159,0.0,57.9,NEET
2020,"E06000005",24,19,70.94390651422862,0.0,59.39432593261667,NEET
2020,"E06000005",26,18,70.57644599561375,0.0,59.0866875337416,NEET
2020,"E06000005",28,18,70.57644599561375,0.0,59.0866875337416,NEET
2021,"E06000005",28,19,72.0229432087188,0.0,60.2976967825564,NEET
2020,"E06000005",30,18,70.57644599561375,0.0,0.0,OtherEd
2021,"E06000005",30,19,72.0229432087188,0.0,0.0,OtherEd
2022,"E06000005",30,20,73.4427137033458,0.0,0.0,OtherEd
2021,"E06000005",31,18,71.9677020478668,255.99061154405402,0.0,TrainingOrEmployment
2022,"E06000005",31,19,73.3863835871308,261.03689125687436,0.0,TrainingOrEmployment
2021,"E06000005",33,18,71.9677020478668,0.0,60.2514488146371,NEET
2022,"E06000005",33,19,73.3863835871308,0.0,61.43917074704482,NEET
2023,"E06000005",33,20,74.94396847310966,0.0,62.74318273244335,NEET
2021,"E06000005",34,18,71.9677020478668,0.0,60.2514488146371,NEET
2022,"E06000005",40,18,73.49517621281592,0.0,0.0,OtherEd
2023,"E06000005",40,19,75.05507016133733,0.0,0.0,OtherEd
2023,"E06000005",44,18,75.02512191142654,0.0,0.0,HigherEd
2024,"E06000005",44,19,76.58691641918783,0.0,0.0,HigherEd
2023,"E06000005",45,18,75.02512191142654,0.0,0.0,OtherEd
2024,"E06000005",45,19,76.58691641918783,0.0,0.0,OtherEd
2024,"E06000005",47,18,76.55192756023861,272.296796943546,0.0,TrainingOrEmployment
2024,"E06000005",48,18,76.55192756023861,0.0,0.0,OtherEd
2025,"E06000005",48,19,78.10980460793488,0.0,0.0,OtherEd
2024,"E06000005",49,18,76.55192756023861,0.0,64.0893680611029,NEET
2024,"E06000005",50,18,76.55192756023861,0.0,64.0893680611029,NEET
2025,"E06000005",50,19,78.10980460793488,0.0,65.39362464465117,NEET
