BRMA,CAT_A,CAT_B,CAT_C,CAT_D,CAT_E,ccode,rcode
Ashford,69.11,126.34,149.79,178.23,230.34,E07000105,E12000008
Aylesbury,72.76,135.04,167.21,210.51,291.34,,
Barnsley,58.07,72.72,87.41,99.79,136.93,E08000016,E12000003
Barrow-in-Furness,67.1,78,92.05,110.47,136.93,E07000027,E12000002
Basingstoke,68.17,138.04,166.84,198.05,266.65,,
Bath,74.66,144,172.25,201.43,309.68,,
Bedford,65.97,109.29,141.44,170.88,221.8,E06000055,E12000006
Birmingham,57.34,101.84,127.62,135.96,173.41,E08000025,E12000005
Black Country,60,86.3,104.89,123.9,151.5,,
Blackwater Valley,79.92,145.48,176.56,210.7,312,,
Bolton and Bury,53.18,84,98.96,118.29,152.6,,
Bournemouth,65.48,123.58,157.61,194.45,253.15,E06000028,E12000009
Bradford & South Dales,60.01,80.55,97.81,111.83,123.58,,
Brighton and Hove,82.66,157.61,204.2,237.19,349.54,E06000043,E12000008
Bristol,71.47,132.43,160.73,192.03,257.09,E06000023,E12000009
Bury St Edmunds,68.04,105.32,134,159.52,222.48,,
Cambridge,80.52,133.72,153.79,178.71,238.38,E07000008,E12000006
Canterbury,76.29,123.86,159.46,185.86,280.6,E07000106,E12000008
Central Greater Manchester,67.2,105.04,123.58,137.32,186.47,,
Central Lancs,55.28,89.46,109.32,126.58,161.1,,
Central London,144.84,276.51,320.74,376.04,442.42,,
Central Norfolk & Norwich,63.29,95.77,120.02,139.42,184.11,,
Chelmsford,73.28,129.78,160.73,196.58,246.05,E07000070,E12000006
Cheltenham,70.4,111.83,143.34,174.43,240.59,E07000078,E12000009
Cherwell Valley,73.53,133.96,162.29,193.51,248.35,,
Chesterfield,52.47,80.55,97.81,113.92,149.59,E07000034,E12000004
Chichester,75.79,134.02,168,204.05,268.03,E07000225,E12000008
Chilterns,75.85,154.28,199.37,243.43,344.05,,
Colchester,64.78,106.67,136.29,165.93,210.62,E07000071,E12000006
Coventry,69.65,92.05,114.82,132.04,175.79,E08000026,E12000005
Crawley & Reigate,84.4,160.73,197.12,229.22,318.96,,
Darlington,62.89,75,90.9,107.11,149.17,E06000005,E12000001
Derby,58.82,84.75,103.56,117.7,155.34,E06000015,E12000004
Doncaster,55.12,78.08,93.23,103.56,143.84,E08000017,E12000003
Dover-Shepway,60.86,88.89,115.07,143.84,168,,
Durham,65,74.79,86.3,97.81,138.08,,
East Cheshire,73.03,103.56,130.03,168,249.6,,
East Lancs,53.5,80.03,90.9,104,142.8,,
East Thames Valley,78.56,160.73,205.73,252.24,334.43,,
Eastbourne,69.01,123.63,156.05,187.92,235.34,E07000061,E12000008
Eastern Staffordshire,60.04,84.03,103.56,123.58,162.4,,
Exeter,74.34,116.52,141.24,164.79,218.63,E07000041,E12000009
Fylde Coast,60.75,85,113.92,130,150,,
Gloucester,70.23,92.05,126.03,151.54,192.75,E07000081,E12000009
Grantham & Newark,60.81,78.05,99.06,110.72,156,,
Greater Liverpool,57.77,90.9,104.89,120.82,155.34,,
Grimsby,52.5,75,92.05,99.04,129.47,,
Guildford,89.16,175.79,222.96,276.07,366.24,E07000209,E12000008
Halifax,64.64,80.55,97.81,115.07,149.59,,
Harlow & Stortford,74.39,141.44,174.82,210.17,288.08,,
Harrogate,68.35,110.72,136.93,161.1,216.52,E07000165,E12000003
Herefordshire,59.95,92.05,117.37,135.19,173.09,E06000019,E12000005
High Weald,79.71,139.42,181.86,223.19,336.82,,
Hull & East Riding,60.5,69.73,86.3,103.56,132.33,,
Huntingdon,63.5,111.28,133.67,159.56,204.05,,
Inner East London,108.3,273.02,320.74,376.04,442.42,,
Inner North London,106.89,276.51,320.74,376.04,442.42,,
Inner South East London,98.04,216.51,281.45,340.64,429.53,,
Inner South West London,100.13,261.43,320.74,376.04,442.42,,
Inner West London,113.86,250.48,311.4,376.04,442.42,,
Ipswich,60.83,93.36,118.64,137.35,179.66,E07000202,E12000006
Isle of Wight,68.5,93.13,121.97,149.59,184.11,E06000046,E12000008
Kendal,62.5,96.91,127.29,150.04,174.81,,
Kernow West,69.1,104.89,132.32,151.5,185.29,,
Kings Lynn,55.28,90.64,115.58,133.35,168.05,,
Kirklees,55,80.55,96.91,113.92,149.59,E08000034,E12000003
Lancaster,59.2,90.9,115.07,132.32,145.43,E07000121,E12000002
Leeds,62.31,100.05,122.36,149.59,195.62,E08000035,E12000003
Leicester,63.22,86.3,109.32,130.38,163.16,E06000016,E12000004
Lincoln,58.9,81.58,100.22,115.07,148.01,E07000138,E12000006
Lincolnshire Fens,58.38,90.93,113.99,133.35,157.61,,
Lowestoft & Great Yarmouth,64.5,86.23,104.89,117.7,149.17,,
Luton,66.24,122.2,155.64,185.41,223.45,E06000032,E12000006
Maidstone,72.44,131.11,162.29,185.86,235.41,E07000110,E12000008
Medway & Swale,67.08,113.99,142.22,162.34,210.17,,
Mendip,71.15,93.23,123.58,153.02,189.63,E07000187,E12000009
Mid & East Devon,70.76,96.96,126.31,151.5,192.28,,
Mid & West Dorset,68.7,105.94,136.93,161.1,200.09,,
Mid Staffs,66.7,90.9,113.92,133.35,170.67,,
Milton Keynes,69.81,128.57,160.73,191.01,244.37,E06000042,E12000008
Newbury,73.67,131.11,165.9,199.8,280.08,,
North Cheshire,51.85,92.05,109.32,126.58,174.81,,
North Cornwall & Devon Borders,68.7,93.23,120.06,139.84,173.04,,
North Cumbria,58.9,80.55,94.39,112.77,141.24,,
North Devon,65.15,92.05,115.07,138.08,168.46,E07000043,E12000009
North Nottingham,58.41,72.72,92.98,103.56,145.43,,
North West Kent,75.16,128.43,162.34,179.66,264.87,,
North West London,92.72,203.03,257.09,321.45,385.63,,
Northampton,68.31,106.14,134,144.04,192.75,E07000154,E12000004
Northants Central,55.42,87.42,112.39,131.11,169.73,,
Northumberland,69.65,74.15,87.45,103.56,138.08,E06000057,E12000001
Nottingham,69,90.9,108.26,123.9,156.05,E06000018,E12000004
Oldham & Rochdale,55.9,83.91,97.81,113.92,149.59,,
Outer East London,83.67,192.87,243.56,304.46,362.36,,
Outer North East London,79.72,165.05,204.35,257.16,331.81,,
Outer North London,90.64,211.84,263,324.57,388.65,,
Outer South East London,86.8,170.83,210.17,257.16,322.15,,
Outer South London,84.93,182.73,230.1,279.14,365.35,,
Outer South West London,92.78,222.54,280.6,336.96,429.53,,
Outer West London,87.43,186.44,243.64,280.68,337.37,,
Oxford,85.46,163.67,192.48,230.14,299.18,E07000178,E12000008
Peaks & Dales,67.93,90.21,110.72,128.19,168,,
Peterborough,57.15,94.81,118.52,136.29,173.46,E06000031,E12000006
Plymouth,71.21,96.98,122.36,145.43,182.45,E06000026,E12000009
Portsmouth,69.04,120.03,148.69,177.78,240,E06000044,E12000008
Reading,81.14,157.61,199.8,228.44,315.12,E06000038,E12000008
