"council","ccode","rcode","model_flag","SP_Allowance_1","SP_Allowance_2","SP_Allowance_3","SP_Fee_1","SP_Fee_2","Sp_Fee_3","SP_Fee_4","Num_Carers_1","Num_Carers_2","Num_Carers_3","Num_Carers_4","Number_of_children_or_young_people_in_placements_at_31_March","Number_of_disabled_children_or_young_people_at_31_March","White_at_31_March","Mixed_at_31_March","Asian_or_Asian_British_at_31_March","Black_or_Black_British_at_31_March","Other_ethnic_groups_at_31_March","Not_known_at_31_March","Number_of_CYP_considered_to_be_at_risk_of_CSE","Number_of_CYP_considered_to_be_subject_to_CSE","Number_of_children_or_young_people_who_went_missing_while_living_with_foster_carers","Number_of_instances_children_or_young_people_went_missing_while_living_with_foster_carers","Less_than_24_hours","One_to_six_days","One_week_to_28_days","Longer_than_28_days","Bullying","Involvement_in_offending_behaviour","Substance_misuse","Contact_with_family_or_friends","Alleged_abuse_within_the_foster_home","Because_they_are_an_asylum_seeker","Suspected_sexual_exploitation","Any_other_known_reason","Reason_unknown","Number_of_return_home_interviews_conducted","Number_of_missing_children_or_young_people_with_no_return_home_interview","Number_of_children_experiencing_unplanned_endings","Number_of_children_experiencing_placement_moves_within_24_hours_of_unplanned_ending_notification","Transferred_to_LA_fostering_placement","Transferred_to_IFA_fostering_placement","Transferred_to_other_type_of_looked_after_placement_eg_childrens_home_adoption","No_longer_looked_after","Staying_put","Not_staying_put","Reason_unknown_1","Number_of_young_people_in_foster_care_who_became_18","Number_of_young_people_in_foster_care_who_became_18_and_remained_living_with_their_former_foster_carer","Groups_assessed","Siblings_assessed","Groups_placed_to_plan","Siblings_placed_to_plan","Groups_NOT_placed_to_plan","Siblings_NOT_placed_to_plan","X","Total_approved_carers","White","Mixed","Asian_or_Asian_British","Black_or_Black_British","Other_ethnic_groups","Not_known","Number_of_individual_foster_carers_who_have_completed_the_TSD_Standards","Number_of_individual_foster_carers_who_have_completed_the_TSD_Standards_for_family_and_friends_carers","Number_of_individual_foster_carers_who_have_completed_the_TSD_Standards_for_short_breaks_carers","Total_approved_households","Permanent_foster_care","Non_permanent_foster_care","Emergency","Family_and_Friends","Parent_and_child","Multi_dimensional_treatment","Remand","Other","Fostering_to_adopt","Short_breaks","Shared_care","Not_known_1","Number_of_households_with_exemptions_to_the_usual_fostering_limit_in_place_at_any_time_during_the_year","Number_of_households_approved_for_one_CYP","Number_of_households_approved_for_two_CYP","Number_of_households_approved_for_three_CYP","Number_of_households_approved_for_four_or_more_CYP","Number_of_approved_foster_places","Number_of_filled_places","Number_of_vacant_places","Number_of_places_not_available","Number_of_initial_enquiries_from_new_prospective_fostering_households","Number_of_applications_approved","Number_of_applications_withdrawn_by_applicants_plus","Number_of_applications_withdrawn_by_services_plus","Number_of_applications_rejected_after_being_presented_to_panel","Number_of_applications_which_remained_in_progress_on_31_March","Total_applications_concluded_or_in_progress_at_31_March","Number_of_family_and_friends_households_approved_in_year","De_registered_to_facilitate_a_transfer_to_a_local_authority","De_registered_to_facilitate_a_transfer_to_an_independent_fostering_agency","De_registration_initiated_by_the_fostering_service","De_registration_initiated_by_the_foster_carer","De_registration_for_unknown_reason","Total_households_de_registered_between_1_April_and_31_March","Number_of_applications_for_a_review_to_the_IRM","Number_of_which_resulted_in_a_recommendation_being_made_to_review_the_decision","Number_of_allegations_against_foster_carers_by_fostered_children","Number_of_allegations_against_foster_carers_by_other_sources","Total_number_of_allegations_made","Number_of_children_made_allegations_against_foster_carers","Number_of_foster_carers_subject_to_allegations","Physical_abuse","Sexual_abuse","Neglect","Emotional_abuse","Concerns_resolved_no_further_action","Continued_monitoring_for_agreed_period","Concern_remained_refer_to_fostering_panel_for_review","Less_than_21_working_days","v_22_30_working_days_4_6_weeks","v_31_50_working_days_6_10_weeks","More_than_50_working_days_more_than_10_weeks","Number_of_referrals_to_the_Disclosure_and_Barring_Service_DBS","Number_of_referrals_to_the_local_authority_child_protection_team","Number_of_Section_47_enquiries","Number_of_recorded_incidents_of_physical_restraint_by_foster_carers","Number_of_CYP_subject_to_restraint","Number_of_households_that_restrained_CYP","CYP_complaints_made","CYP_complaints_not_upheld","Foster_carers_complaints_made","Foster_carers_complaints_not_upheld","CYPs_social_workers_complaints_made","CYPs_social_workers_complaints_not_upheld","Other_professionals_complaints_made","Other_professionals_complaints_not_upheld","CYPs_parents_complaints_made","CYPs_parents_complaints_not_upheld","Others_complaints_made","Others_complaints_not_upheld","Total_complaints_complaints_made","Total_complaints_complaints_not_upheld"
"England","E92000001","E92000001",,,,,,,,,,,,,53040,4610,40475,5015,2455,3490,1240,370,3090,835,6835,30615,3125,2285,955,470,35,120,140,3595,20,100,265,1365,1200,12800,2965,6240,1565,2930,3350,6895,10935,1695,1735,1810,3435,1695,4965,12950,4275,10800,690,2150,2150,73530,61430,905,3675,5540,565,1400,48440,2080,1630,43475,13595,19195,385,6100,355,650,25,325,365,1480,680,125,1480,14340,15540,12845,755,87120,53205,17150,15645,117335,4920,2820,2445,230,3865,14280,2845,220,365,2375,5640,140,8740,110,35,1595,845,2445,1565,2340,1410,185,380,470,1380,430,630,1170,370,360,530,90,1225,700,1205,630,615,330,155,415,180,160,80,125,45,260,130,215,105,1500,695
"North East England","E12000001","E12000001",,,,,,,,,,,,,2910,160,2710,80,35,45,30,5,95,30,245,1290,120,95,25,10,0,0,5,125,0,0,5,30,75,865,35,170,65,35,135,495,910,70,55,5,125,70,475,1125,425,980,50,145,,3560,3480,5,25,5,5,30,2095,145,60,2140,500,895,5,565,5,5,0,0,10,55,20,0,65,810,780,510,40,4075,2915,510,575,1760,140,40,5,0,95,280,370,0,0,255,500,5,760,0,0,40,45,85,30,85,35,10,15,25,45,15,25,30,15,10,25,5,20,15,10,10,10,5,5,5,0,0,0,0,0,5,5,5,0,20,10
"Darlington","E06000005","E12000001","*",247.47,,,75,90,100,150,2,1,1,1,85,0,80,0,0,5,0,0,5,5,10,25,5,5,0,0,0,0,0,5,0,0,0,0,0,25,0,15,5,0,15,15,30,0,0,0,0,0,20,45,20,35,0,5,,135,135,0,0,0,0,0,45,0,0,80,10,40,0,25,0,0,0,0,0,5,0,0,0,30,25,20,0,150,85,40,25,40,5,5,0,0,5,10,10,0,0,25,15,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"County Durham","E06000047","E12000001",,201.5,,,,,,,12,,,,515,10,505,10,0,0,0,0,5,0,10,15,5,5,0,0,0,0,0,10,0,0,0,0,0,15,0,30,15,0,35,90,205,10,0,0,10,10,95,230,80,180,15,50,,595,590,0,0,0,0,0,405,5,0,330,115,120,0,90,0,0,0,0,0,0,0,0,15,110,115,90,5,650,515,35,100,330,25,15,0,0,15,55,60,0,0,45,100,0,145,0,0,5,10,15,5,15,5,5,5,5,5,10,5,10,5,5,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gateshead","E08000037","E12000001","*",220,,,,,,,17,,,,315,5,285,10,5,10,0,0,5,0,40,245,15,25,5,0,0,0,0,35,0,0,0,5,5,100,10,25,20,0,0,50,80,20,5,0,25,20,25,55,20,45,5,10,,370,365,0,0,0,0,0,235,25,15,210,65,90,0,45,0,0,0,0,0,5,10,0,10,70,85,55,5,420,315,0,85,155,15,0,0,0,10,25,25,0,0,25,45,0,70,0,0,5,0,5,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"Hartlepool","E06000001","E12000001","*",134.9,,,226,,,,15,,,,180,15,170,0,0,5,0,0,5,0,20,90,10,10,0,0,0,0,0,15,0,0,0,0,5,75,0,,,0,5,25,25,5,10,0,10,5,20,60,20,60,0,0,,230,220,0,0,0,5,10,140,10,5,135,5,45,0,35,0,5,0,0,0,0,0,0,5,45,65,25,5,260,180,80,,,0,0,0,0,0,0,25,0,0,20,5,0,25,0,0,5,0,5,5,5,5,0,0,0,0,0,5,0,0,0,5,0,5,0,,,,0,0,0,0,0,0,0,0,5,0,0,0,5,0
"Middlesbrough","E06000002","E12000001",,215,,,,,,,,,,,155,5,140,15,0,5,0,0,5,5,5,55,5,0,0,0,0,0,0,5,0,0,0,5,0,40,0,0,0,0,5,25,25,5,0,0,5,5,25,60,20,40,5,15,,225,215,0,5,0,0,0,170,0,0,135,35,80,0,15,0,0,0,0,5,0,0,0,5,50,60,20,5,250,155,40,25,100,15,0,0,0,10,25,15,0,0,10,25,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Newcastle upon Tyne","E08000021","E12000001","*",242.08,,,,,,,,,,,350,65,295,10,15,10,20,0,15,0,45,230,30,15,5,0,0,0,0,10,0,0,0,10,25,145,5,15,0,35,10,25,115,15,5,5,25,15,60,135,45,105,10,25,,350,325,0,15,5,0,10,200,5,15,255,75,95,0,65,0,0,0,0,0,20,0,0,15,80,90,80,0,515,350,40,125,270,15,0,0,0,10,25,45,0,0,5,80,0,85,0,0,5,5,10,5,15,5,0,0,0,5,,5,5,0,0,0,0,5,5,5,5,5,0,0,,,,,,,,,,,0,0
"North Tyneside","E08000022","E12000001",,141.68,,,,,,,,,,,195,5,190,0,0,0,5,0,5,0,30,300,15,10,5,5,0,0,0,0,0,0,0,0,30,230,5,20,5,0,0,25,85,0,10,0,10,0,50,125,45,115,5,10,,270,265,5,0,0,0,0,170,25,5,165,40,70,0,45,0,0,0,0,0,0,5,0,5,70,50,40,5,315,195,55,60,,10,15,5,0,15,45,30,0,0,20,50,0,70,,,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,0,0
"Northumberland","E06000057","E12000001",,161.13,,,,,,,11,,,,230,15,220,5,0,0,0,5,20,0,35,135,10,15,5,0,0,0,0,15,0,0,0,5,15,60,15,20,5,0,5,70,50,5,5,0,10,5,20,55,20,45,0,10,,290,290,0,0,0,0,0,175,25,0,165,25,80,5,50,0,0,0,0,5,0,0,0,5,75,60,30,5,290,230,10,35,495,15,5,0,0,10,35,25,0,0,20,5,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
