"council","amount","ccode","rcode","prev_amount","my_estimated_amount"
"North East England",,"E12000001","E12000001",,
"Darlington",54877,"E06000005","E12000001",50674,71996.0585140165
"County Durham",206595,"E06000047","E12000001",117183,166489.997332912
"Gateshead",229192,"E08000037","E12000001",164690,233986.479785953
"Hartlepool",132350,"E06000001","E12000001",53841,76495.6345749924
"Middlesbrough",164631,"E06000002","E12000001",110849,157490.845210961
"Newcastle upon Tyne",245332,"E08000021","E12000001",199528,283483.237225889
"North Tyneside",138806,"E08000022","E12000001",57008,80995.2106359682
"Northumberland",135578,"E06000057","E12000001",69676,98993.5148798717
"Redcar and Cleveland",80701,"E06000003","E12000001",44339,62995.4856228634
"South Tyneside",116210,"E08000023","E12000001",82345,116993.239892977
"Stockton-on-Tees",74245,"E06000004","E12000001",82345,116993.239892977
"Sunderland",158175,"E08000024","E12000001",136185,193487.453698767
"North West England",,"E12000002","E12000002",,
"Blackburn with Darwen",80701,"E06000008","E12000002",76010,107992.667001823
"Blackpool",122666,"E06000009","E12000002",50674,71996.0585140165
"Bolton",148490,"E08000001","E12000002",104514,148490.272319807
"Bury",83929,"E08000002","E12000002",114016,161990.421271936
"Cheshire East",112982,"E06000049","E12000002",117183,166489.997332912
"Cheshire West and Chester",174315,"E06000050","E12000002",110849,157490.845210961
"Cumbria",154947,"E10000006","E12000002",196361,278983.661164913
"Halton",58105,"E06000006","E12000002",63342,89994.36275792
"Knowsley",96842,"E08000011","E12000002",98180,139491.120197856
"Lancashire",519717,"E10000017","E12000002",313544,445473.658497825
"Liverpool",309893,"E08000012","E12000002",399056,566966.474451778
"Manchester",529401,"E08000003","E12000002",532075,755955.772858771
"Oldham",116210,"E08000004","E12000002",63342,89994.36275792
"Rochdale",122666,"E08000005","E12000002",66509,94493.9388188958
"Salford",158175,"E08000006","E12000002",104514,148490.272319807
"Sefton",203367,"E08000014","E12000002",66509,94493.9388188958
"St Helens",138806,"E08000013","E12000002",41172,58495.9095618875
"Stockport",171087,"E08000007","E12000002",148855,211488.599481074
"Tameside",171087,"E08000008","E12000002",57008,80995.2106359682
"Trafford",142034,"E08000009","E12000002",104514,148490.272319807
"Warrington",80701,"E06000007","E12000002",91846,130491.968075904
"Wigan",154947,"E08000010","E12000002",117183,166489.997332912
"Wirral",255016,"E08000015","E12000002",177359,251986.204799058
"Yorkshire and the Humber",,"E12000003","E12000003",,
"Barnsley",83929,"E08000016","E12000003",76010,107992.667001823
"Bradford",261472,"E08000032","E12000003",243868,346480.143617954
"Calderdale",112982,"E08000033","E12000003",79178,112493.663832001
"Doncaster",203367,"E08000017","E12000003",148855,211488.599481074
"East Riding of Yorkshire",164631,"E06000011","E12000003",104514,148490.272319807
"Kingston Upon Hull",267928,"E06000010","E12000003",136185,193487.453698767
"Kirklees",245332,"E08000034","E12000003",98180,139491.120197856
"Leeds",516489,"E08000035","E12000003",354716,503969.568059713
"North East Lincolnshire",32281,"E06000012","E12000003",76010,107992.667001823
"North Lincolnshire",77473,"E06000013","E12000003",19003,26998.8771350566
"North Yorkshire",242104,"E10000023","E12000003",164690,233986.479785953
"Rotherham",177543,"E08000018","E12000003",76010,107992.667001823
"Sheffield",280841,"E08000019","E12000003",180526,256485.780860034
"Wakefield",164631,"E08000036","E12000003",152022,215988.17554205
"York",119438,"E06000014","E12000003",95013,134991.54413688
"East Midlands",,"E12000004","E12000004",,
"Derby",161403,"E06000015","E12000004",148855,211488.599481074
"Derbyshire",303437,"E10000007","E12000004",224865,319481.266482897
"Leicester",225964,"E06000016","E12000004",155189,220487.751603025
"Leicestershire",138806,"E10000018","E12000004",91846,130491.968075904
"Lincolnshire",300209,"E10000019","E12000006",196361,278983.661164913
"Northamptonshire",358314,"E10000021","E12000004",272372,386977.748935938
"Nottingham",219508,"E06000018","E12000004",177359,251986.204799058
"Nottinghamshire",387366,"E10000024","E12000004",215364,305982.53829997
"Rutland",12912,"E06000017","E12000004",9501,13498.7281829276
"West Midlands",,"E12000005","E12000005",,
"Birmingham",639155,"E08000025","E12000005",481401,683959.714344754
"Coventry",222736,"E08000026","E12000005",152022,215988.17554205
"Dudley",271156,"E08000027","E12000005",152022,215988.17554205
"Herefordshire",158175,"E06000019","E12000005",85512,121492.815953952
"Sandwell",203367,"E08000028","E12000005",133018,188987.877637792
"Shropshire",61333,"E06000051","E12000005",101347,143990.696258832
"Solihull",135578,"E08000029","E12000005",205863,292483.810117042
"Staffordshire",358314,"E10000028","E12000005",228032,323980.842543873
"Stoke-on-Trent",100070,"E06000021","E12000005",120350,170989.573393888
"Telford and Wrekin",64561,"E06000020","E12000005",57008,80995.2106359682
"Walsall",196911,"E08000030","E12000005",155189,220487.751603025
"Warwickshire",516489,"E10000031","E12000005",313544,445473.658497825
"Wolverhampton",200139,"E08000031","E12000005",82345,116993.239892977
"Worcestershire",280841,"E10000034","E12000005",253369,359978.871800881
"East of England",,"E12000006","E12000006",,
"Bedford",67789,"E06000055","E12000006",82345,116993.239892977
"Central Bedfordshire",58105,"E06000056","E12000006",91846,130491.968075904
"Cambridgeshire",209823,"E10000003","E12000006",174192,247486.628738082
"Essex",551997,"E10000012","E12000006",522574,742457.044675843
"Hertfordshire",555225,"E10000015","E12000006",471900,670460.986161827
"Luton",151718,"E06000032","E12000006",155189,220487.751603025
"Norfolk",513260,"E10000020","E12000006",386387,548966.749438673
"Peterborough",190455,"E06000031","E12000006",123517,175489.149454864
"Southend-on-Sea",171087,"E06000033","E12000006",123517,175489.149454864
"Suffolk",332489,"E10000029","E12000006",247035,350979.71967893
"Thurrock",171087,"E06000034","E12000006",117183,166489.997332912
"London",,"E12000007","E12000007",,
"Inner London",,,,,
"Camden",100070,"E09000007","E12000007",139352,197987.029759743
"City of London",41965,"E09000001","E12000007",15836,22499.3010740807
"Hackney",255016,"E09000012","E12000007",129851,184488.301576816
"Hammersmith and Fulham",209823,"E09000013","E12000007",104514,148490.272319807
"Haringey",232420,"E09000014","E12000007",186860,265484.932981985
"Islington",361542,"E09000019","E12000007",240701,341980.567556978
"Kensington and Chelsea",83929,"E09000020","E12000007",79178,112493.663832001
"Lambeth",313121,"E09000022","E12000007",294541,418474.781362769
"Lewisham",406735,"E09000023","E12000007",234366,332979.994665825
"Newham",338946,"E09000025","E12000007",259703,368978.023922833
"Southwark",406735,"E09000028","E12000007",338881,481471.687754834
"Tower Hamlets",229192,"E09000030","E12000007",139352,197987.029759743
"Wandsworth",112982,"E09000032","E12000007",57008,80995.2106359682
"Westminster",142034,"E09000033","E12000007",110849,157490.845210961
"Outer London",,,,,
"Barking and Dagenham",203367,"E09000002","E12000007",136185,193487.453698767
"Barnet",171087,"E09000003","E12000007",117183,166489.997332912
"Bexley",158175,"E09000004","E12000007",110849,157490.845210961
"Brent",200139,"E09000005","E12000007",142520,202488.026589921
"Bromley",161403,"E09000006","E12000007",117183,166489.997332912
"Croydon",1255713,"E09000008","E12000007",551077,782953.229224626
"Ealing",209823,"E09000009","E12000007",186860,265484.932981985
"Enfield",264700,"E09000010","E12000007",129851,184488.301576816
"Greenwich",316349,"E09000011","E12000007",253369,359978.871800881
"Harrow",77473,"E09000015","E12000007",85512,121492.815953952
"Havering",119438,"E09000016","E12000007",76010,107992.667001823
"Hillingdon",196911,"E09000017","E12000007",180526,256485.780860034
"Hounslow",164631,"E09000018","E12000007",145687,206987.602650896
"Kingston upon Thames",77473,"E09000021","E12000007",72843,103493.090940848
"Merton",138806,"E09000024","E12000007",47507,67496.4824530407
