council,amount,ccode,rcode
North East England,,E12000001,E12000001
Darlington,50674,E06000005,E12000001
County Durham,117183,E06000047,E12000001
Gateshead,164690,E08000037,E12000001
Hartlepool,53841,E06000001,E12000001
Middlesbrough,110849,E06000002,E12000001
Newcastle upon Tyne,199528,E08000021,E12000001
North Tyneside,57008,E08000022,E12000001
Northumberland,69676,E06000057,E12000001
Redcar and Cleveland,44339,E06000003,E12000001
South Tyneside,82345,E08000023,E12000001
Stockton-on-Tees,82345,E06000004,E12000001
Sunderland,136185,E08000024,E12000001
North West England,,E12000002,E12000002
Blackburn with Darwen,76010,E06000008,E12000002
Blackpool,50674,E06000009,E12000002
Bolton,104514,E08000001,E12000002
Bury,114016,E08000002,E12000002
Cheshire East,117183,E06000049,E12000002
Cheshire West and Chester,110849,E06000050,E12000002
Cumbria,196361,E10000006,E12000002
Halton,63342,E06000006,E12000002
Knowsley,98180,E08000011,E12000002
Lancashire,313544,E10000017,E12000002
Liverpool,399056,E08000012,E12000002
Manchester,532075,E08000003,E12000002
Oldham,63342,E08000004,E12000002
Rochdale,66509,E08000005,E12000002
Salford,104514,E08000006,E12000002
Sefton,66509,E08000014,E12000002
St Helens,41172,E08000013,E12000002
Stockport,148855,E08000007,E12000002
Tameside,57008,E08000008,E12000002
Trafford,104514,E08000009,E12000002
Warrington,91846,E06000007,E12000002
Wigan,117183,E08000010,E12000002
Wirral,177359,E08000015,E12000002
Yorkshire and the Humber,,E12000003,E12000003
Barnsley,76010,E08000016,E12000003
Bradford,243868,E08000032,E12000003
Calderdale,79178,E08000033,E12000003
Doncaster,148855,E08000017,E12000003
East Riding of Yorkshire,104514,E06000011,E12000003
Kingston Upon Hull,136185,E06000010,E12000003
Kirklees,98180,E08000034,E12000003
Leeds,354716,E08000035,E12000003
North East Lincolnshire,76010,E06000012,E12000003
North Lincolnshire,19003,E06000013,E12000003
North Yorkshire,164690,E10000023,E12000003
Rotherham,76010,E08000018,E12000003
Sheffield,180526,E08000019,E12000003
Wakefield,152022,E08000036,E12000003
York,95013,E06000014,E12000003
East Midlands,,E12000004,E12000004
Derby,148855,E06000015,E12000004
Derbyshire,224865,E10000007,E12000004
Leicester,155189,E06000016,E12000004
Leicestershire,91846,E10000018,E12000004
Lincolnshire,196361,E10000019,E12000006
Northamptonshire,272372,E10000021,E12000004
Nottingham,177359,E06000018,E12000004
Nottinghamshire,215364,E10000024,E12000004
Rutland,9501,E06000017,E12000004
West Midlands,,E12000005,E12000005
Birmingham,481401,E08000025,E12000005
Coventry,152022,E08000026,E12000005
Dudley,152022,E08000027,E12000005
Herefordshire,85512,E06000019,E12000005
Sandwell,133018,E08000028,E12000005
Shropshire,101347,E06000051,E12000005
Solihull,205863,E08000029,E12000005
Staffordshire,228032,E10000028,E12000005
Stoke-on-Trent,120350,E06000021,E12000005
Telford and Wrekin,57008,E06000020,E12000005
Walsall,155189,E08000030,E12000005
Warwickshire,313544,E10000031,E12000005
Wolverhampton,82345,E08000031,E12000005
Worcestershire,253369,E10000034,E12000005
East of England,,E12000006,E12000006
Bedford,82345,E06000055,E12000006
Central Bedfordshire,91846,E06000056,E12000006
Cambridgeshire,174192,E10000003,E12000006
Essex,522574,E10000012,E12000006
Hertfordshire,471900,E10000015,E12000006
Luton,155189,E06000032,E12000006
Norfolk,386387,E10000020,E12000006
Peterborough,123517,E06000031,E12000006
Southend-on-Sea,123517,E06000033,E12000006
Suffolk,247035,E10000029,E12000006
Thurrock,117183,E06000034,E12000006
London,,E12000007,E12000007
Inner London,,,
Camden,139352,E09000007,E12000007
City of London,15836,E09000001,E12000007
Hackney,129851,E09000012,E12000007
Hammersmith and Fulham,104514,E09000013,E12000007
Haringey,186860,E09000014,E12000007
Islington,240701,E09000019,E12000007
Kensington and Chelsea,79178,E09000020,E12000007
Lambeth,294541,E09000022,E12000007
Lewisham,234366,E09000023,E12000007
Newham,259703,E09000025,E12000007
Southwark,338881,E09000028,E12000007
Tower Hamlets,139352,E09000030,E12000007
Wandsworth,57008,E09000032,E12000007
Westminster,110849,E09000033,E12000007
Outer London,,,
Barking and Dagenham,136185,E09000002,E12000007
Barnet,117183,E09000003,E12000007
Bexley,110849,E09000004,E12000007
Brent,142520,E09000005,E12000007
Bromley,117183,E09000006,E12000007
Croydon,551077,E09000008,E12000007
Ealing,186860,E09000009,E12000007
Enfield,129851,E09000010,E12000007
Greenwich,253369,E09000011,E12000007
Harrow,85512,E09000015,E12000007
Havering,76010,E09000016,E12000007
Hillingdon,180526,E09000017,E12000007
Hounslow,145687,E09000018,E12000007
Kingston upon Thames,72843,E09000021,E12000007
Merton,47507,E09000024,E12000007
Redbridge,95013,E09000026,E12000007
Richmond Upon Thames,47507,E09000027,E12000007
Sutton,82345,E09000029,E12000007
Waltham Forest,161523,E09000031,E12000007
South East England,,E12000008,E12000008
Bracknell Forest,41172,E06000036,E12000008
Brighton and Hove,281873,E06000043,E12000008
Buckinghamshire,110849,E10000002,E12000008
East Sussex,297708,E10000011,E12000008
Hampshire,440228,E10000014,E12000008
Isle of Wight,114016,E06000046,E12000008
Kent,851953,E10000016,E12000008
Medway,177359,E06000035,E12000008
Milton Keynes,63342,E06000042,E12000008
Oxfordshire,224865,E10000025,E12000008
Portsmouth,88679,E06000044,E12000008
Reading,69676,E06000038,E12000008
Slough,53841,E06000039,E12000008
Southampton,148855,E06000045,E12000008
Surrey,443395,E10000030,E12000008
West Berkshire,57008,E06000037,E12000008
West Sussex,240701,E10000032,E12000008
Windsor and Maidenhead,34838,E06000040,E12000008
Wokingham,38005,E06000041,E12000008
South West England,,E12000009,E12000009
Bath and North East Somerset,98180,E06000022,E12000009
Bournemouth,79178,E06000028,E12000009
Bristol,351549,E06000023,E12000009
Cornwall,158356,E06000052,E12000009
Devon,171024,E10000008,E12000009
Dorset,107681,E10000009,E12000009
Gloucestershire,278706,E10000013,E12000009
Isles of Scilly,0,E06000053,E12000009
North Somerset,57008,E06000024,E12000009
Plymouth,114016,E06000026,E12000009
Poole,47507,E06000029,E12000009
Somerset,142520,E10000027,E12000009
South Gloucestershire,76010,E06000025,E12000009
Swindon,180526,E06000030,E12000009
Torbay,53841,E06000027,E12000009
Wiltshire,104514,E06000054,E12000009
