New GSS code 	Old ONS code 	Name 	Entity 	County (England) 	Region
E09000001 	00AA 	City of London 	London borough 		London
E09000002 	00AB 	Barking and Dagenham 	London borough 		London
E09000003 	00AC 	Barnet 	London borough 		London
E09000004 	00AD 	Bexley 	London borough 		London
E09000005 	00AE 	Brent 	London borough 		London
E09000006 	00AF 	Bromley 	London borough 		London
E09000007 	00AG 	Camden 	London borough 		London
E09000008 	00AH 	Croydon 	London borough 		London
E09000009 	00AJ 	Ealing 	London borough 		London
E09000010 	00AK 	Enfield 	London borough 		London
E09000011 	00AL 	Greenwich 	London borough 		London
E09000012 	00AM 	Hackney 	London borough 		London
E09000013 	00AN 	Hammersmith and Fulham 	London borough 		London
E09000014 	00AP 	Haringey 	London borough 		London
E09000015 	00AQ 	Harrow 	London borough 		London
E09000016 	00AR 	Havering 	London borough 		London
E09000017 	00AS 	Hillingdon 	London borough 		London
E09000018 	00AT 	Hounslow 	London borough 		London
E09000019 	00AU 	Islington 	London borough 		London
E09000020 	00AW 	Kensington and Chelsea 	London borough 		London
E09000021 	00AX 	Kingston upon Thames 	London borough 		London
E09000022 	00AY 	Lambeth 	London borough 		London
E09000023 	00AZ 	Lewisham 	London borough 		London
E09000024 	00BA 	Merton 	London borough 		London
E09000025 	00BB 	Newham 	London borough 		London
E09000026 	00BC 	Redbridge 	London borough 		London
E09000027 	00BD 	Richmond Upon Thames 	London borough 		London
E09000028 	00BE 	Southwark 	London borough 		London
E09000029 	00BF 	Sutton 	London borough 		London
E09000030 	00BG 	Tower Hamlets 	London borough 		London
E09000031 	00BH 	Waltham Forest 	London borough 		London
E09000032 	00BJ 	Wandsworth 	London borough 		London
E09000033 	00BK 	Westminster 	London borough 		London
E08000001 	00BL 	Bolton 	Metropolitan district 	Greater Manchester 	North West England
E08000002 	00BM 	Bury 	Metropolitan district 	Greater Manchester 	North West England
E08000003 	00BN 	Manchester 	Metropolitan district 	Greater Manchester 	North West England
E08000004 	00BP 	Oldham 	Metropolitan district 	Greater Manchester 	North West England
E08000005 	00BQ 	Rochdale 	Metropolitan district 	Greater Manchester 	North West England
E08000006 	00BR 	Salford 	Metropolitan district 	Greater Manchester 	North West England
E08000007 	00BS 	Stockport 	Metropolitan district 	Greater Manchester 	North West England
E08000008 	00BT 	Tameside 	Metropolitan district 	Greater Manchester 	North West England
E08000009 	00BU 	Trafford 	Metropolitan district 	Greater Manchester 	North West England
E08000010 	00BW 	Wigan 	Metropolitan district 	Greater Manchester 	North West England
E08000011 	00BX 	Knowsley 	Metropolitan district 	Merseyside 	North West England
