BRMA,CAT_A,CAT_B,CAT_C,CAT_D,CAT_E
Ashford,69.11,126.34,149.79,178.23,230.34
Aylesbury,72.76,135.04,167.21,210.51,291.34
Barnsley,58.07,72.72,87.41,99.79,136.93
Barrow-in-Furness,67.10,78.00,92.05,110.47,136.93
Basingstoke,68.17,138.04,166.84,198.05,266.65
Bath,74.66,144.00,172.25,201.43,309.68
Bedford,65.97,109.29,141.44,170.88,221.80
Birmingham,57.34,101.84,127.62,135.96,173.41
Black Country,60.00,86.30,104.89,123.90,151.50
Blackwater Valley,79.92,145.48,176.56,210.70,312.00
Bolton and Bury,53.18,84.00,98.96,118.29,152.60
Bournemouth,65.48,123.58,157.61,194.45,253.15
Bradford & South Dales,60.01,80.55,97.81,111.83,123.58
Brighton and Hove,82.66,157.61,204.20,237.19,349.54
Bristol,71.47,132.43,160.73,192.03,257.09
Bury St Edmunds,68.04,105.32,134.00,159.52,222.48
Cambridge,80.52,133.72,153.79,178.71,238.38
Canterbury,76.29,123.86,159.46,185.86,280.60
Central Greater Manchester,67.20,105.04,123.58,137.32,186.47
Central Lancs,55.28,89.46,109.32,126.58,161.10
Central London,144.84,276.51,320.74,376.04,442.42
Central Norfolk & Norwich,63.29,95.77,120.02,139.42,184.11
Chelmsford,73.28,129.78,160.73,196.58,246.05
Cheltenham,70.40,111.83,143.34,174.43,240.59
Cherwell Valley,73.53,133.96,162.29,193.51,248.35
Chesterfield,52.47,80.55,97.81,113.92,149.59
Chichester,75.79,134.02,168.00,204.05,268.03
Chilterns,75.85,154.28,199.37,243.43,344.05
Colchester,64.78,106.67,136.29,165.93,210.62
Coventry,69.65,92.05,114.82,132.04,175.79
Crawley & Reigate,84.40,160.73,197.12,229.22,318.96
Darlington,62.89,75.00,90.90,107.11,149.17
Derby,58.82,84.75,103.56,117.70,155.34
Doncaster,55.12,78.08,93.23,103.56,143.84
Dover-Shepway,60.86,88.89,115.07,143.84,168.00
Durham,65.00,74.79,86.30,97.81,138.08
East Cheshire,73.03,103.56,130.03,168.00,249.60
East Lancs,53.50,80.03,90.90,104.00,142.80
East Thames Valley,78.56,160.73,205.73,252.24,334.43
Eastbourne,69.01,123.63,156.05,187.92,235.34
Eastern Staffordshire,60.04,84.03,103.56,123.58,162.40
Exeter,74.34,116.52,141.24,164.79,218.63
Fylde Coast,60.75,85.00,113.92,130.00,150.00
Gloucester,70.23,92.05,126.03,151.54,192.75
Grantham & Newark,60.81,78.05,99.06,110.72,156.00
Greater Liverpool,57.77,90.90,104.89,120.82,155.34
Grimsby,52.50,75.00,92.05,99.04,129.47
Guildford,89.16,175.79,222.96,276.07,366.24
Halifax,64.64,80.55,97.81,115.07,149.59
Harlow & Stortford,74.39,141.44,174.82,210.17,288.08
Harrogate,68.35,110.72,136.93,161.10,216.52
Herefordshire,59.95,92.05,117.37,135.19,173.09
High Weald,79.71,139.42,181.86,223.19,336.82
Hull & East Riding,60.50,69.73,86.30,103.56,132.33
Huntingdon,63.50,111.28,133.67,159.56,204.05
Inner East London,108.30,273.02,320.74,376.04,442.42
Inner North London,106.89,276.51,320.74,376.04,442.42
Inner South East London,98.04,216.51,281.45,340.64,429.53
Inner South West London,100.13,261.43,320.74,376.04,442.42
Inner West London,113.86,250.48,311.40,376.04,442.42
Ipswich,60.83,93.36,118.64,137.35,179.66
Isle of Wight,68.50,93.13,121.97,149.59,184.11
Kendal,62.50,96.91,127.29,150.04,174.81
Kernow West,69.10,104.89,132.32,151.50,185.29
Kings Lynn,55.28,90.64,115.58,133.35,168.05
Kirklees,55.00,80.55,96.91,113.92,149.59
Lancaster,59.20,90.90,115.07,132.32,145.43
Leeds,62.31,100.05,122.36,149.59,195.62
Leicester,63.22,86.30,109.32,130.38,163.16
Lincoln,58.90,81.58,100.22,115.07,148.01
Lincolnshire Fens,58.38,90.93,113.99,133.35,157.61
Lowestoft & Great Yarmouth,64.50,86.23,104.89,117.70,149.17
Luton,66.24,122.20,155.64,185.41,223.45
Maidstone,72.44,131.11,162.29,185.86,235.41
Medway & Swale,67.08,113.99,142.22,162.34,210.17
Mendip,71.15,93.23,123.58,153.02,189.63
Mid & East Devon,70.76,96.96,126.31,151.50,192.28
Mid & West Dorset,68.70,105.94,136.93,161.10,200.09
Mid Staffs,66.70,90.90,113.92,133.35,170.67
Milton Keynes,69.81,128.57,160.73,191.01,244.37
Newbury,73.67,131.11,165.90,199.80,280.08
North Cheshire,51.85,92.05,109.32,126.58,174.81
North Cornwall & Devon Borders,68.70,93.23,120.06,139.84,173.04
North Cumbria,58.90,80.55,94.39,112.77,141.24
North Devon,65.15,92.05,115.07,138.08,168.46
North Nottingham,58.41,72.72,92.98,103.56,145.43
North West Kent,75.16,128.43,162.34,179.66,264.87
North West London,92.72,203.03,257.09,321.45,385.63
Northampton,68.31,106.14,134.00,144.04,192.75
Northants Central,55.42,87.42,112.39,131.11,169.73
Northumberland,69.65,74.15,87.45,103.56,138.08
Nottingham,69.00,90.90,108.26,123.90,156.05
Oldham & Rochdale,55.90,83.91,97.81,113.92,149.59
Outer East London,83.67,192.87,243.56,304.46,362.36
Outer North East London,79.72,165.05,204.35,257.16,331.81
Outer North London,90.64,211.84,263.00,324.57,388.65
Outer South East London,86.80,170.83,210.17,257.16,322.15
Outer South London,84.93,182.73,230.10,279.14,365.35
Outer South West London,92.78,222.54,280.60,336.96,429.53
Outer West London,87.43,186.44,243.64,280.68,337.37
Oxford,85.46,163.67,192.48,230.14,299.18
Peaks & Dales,67.93,90.21,110.72,128.19,168.00
Peterborough,57.15,94.81,118.52,136.29,173.46
Plymouth,71.21,96.98,122.36,145.43,182.45
Portsmouth,69.04,120.03,148.69,177.78,240.00
Reading,81.14,157.61,199.80,228.44,315.12
Richmond & Hambleton,68.35,90.90,113.92,128.19,161.10
Rotherham,60.26,79.40,96.96,101.00,138.08
Rugby & East,65.90,97.66,123.62,142.18,194.10
Salisbury,71.98,118.52,143.84,172.60,228.99
Scarborough,60.35,80.55,103.56,124.77,136.93
Scunthorpe,53.50,74.59,92.05,104.89,134.02
Sheffield,64.41,94.80,107.11,116.53,156.00
Shropshire,67.89,87.41,109.32,129.47,170.67
Solihull,75.45,116.53,149.59,172.60,230.14
