"brma","cat_a","cat_b","cat_c","cat_d","cat_e"
"ashford",70.28,128.49,152.34,181.26,234.26
"aylesbury",74,137.34,170.05,214.09,296.29
"barnsley",59.06,73.96,88.9,101.49,139.26
"barrow-in-furness",68.24,79.33,93.61,112.35,139.26
"basingstoke",69.33,140.39,169.68,201.42,271.18
"bath",75.93,146.45,175.18,204.85,314.94
"bedford",67.09,111.15,143.84,173.78,225.57
"birmingham",58.31,103.57,129.79,138.27,176.36
"black_country",60.18,87.77,106.67,126.01,154.08
"blackwater_valley",81.28,147.95,179.56,214.28,317.3
"bolton_and_bury",54.08,85.43,100.64,120.3,155.19
"bournemouth",66.59,125.68,160.29,197.76,257.45
"bradford_and_south_dales",61.03,80.55,99.47,113.73,125.68
"brighton_and_hove",84.07,160.29,207.67,241.22,355.48
"bristol",72.68,134.68,163.46,195.29,261.46
"bury_st_edmunds",69.2,107.11,136.28,162.23,226.26
"cambridge",81.89,135.99,156.4,181.75,242.43
"canterbury",77.59,125.97,162.17,189.02,285.37
"central_greater_manchester",68.34,106.83,125.68,139.65,189.64
"central_lancs",56.22,90.9,111.18,128.73,163.84
"central_london",147.3,281.21,326.19,382.43,449.94
"central_norfolk_and_norwich",64.37,97.4,122.06,141.79,187.24
"chelmsford",74.53,131.99,163.46,199.92,250.23
"cheltenham",71.6,113.73,145.78,177.4,244.68
"cherwell_valley",74.78,136.24,165.05,196.8,252.57
"chesterfield",53.36,81.92,99.47,115.86,152.13
"chichester",77.08,136.3,170.86,207.52,272.59
"chilterns",77.14,156.9,202.76,247.57,349.9
"colchester",65.88,108.48,138.61,168.75,214.2
"coventry",70.83,93.61,116.77,134.28,178.78
"crawley_and_reigate",85.83,163.46,200.47,233.12,324.38
"darlington",63.96,76.15,92.05,108.93,151.71
"derby",59.82,86.19,105.32,119.7,157.98
"doncaster",56.06,79.41,94.81,105.32,146.29
"dover-shepway",61.89,90.4,117.03,146.29,170.86
"durham",65,74.79,87.45,99.47,140.38
"east_cheshire",74.27,105.32,132.24,170.86,253.84
"east_lancs",54.41,81.39,92.45,105.77,145.23
"east_thames_valley",79.9,163.46,209.23,256.53,340.12
"eastbourne",70.18,125.73,158.7,191.11,239.34
"eastern_staffordshire",61.06,85.46,105.32,125.68,165.16
"exeter",75.6,118.5,143.64,167.59,222.35
"fylde_coast",61.78,85,114.61,132.21,150
"gloucester",71.42,93.61,128.17,154.12,196.03
"grantham_and_newark",61.84,79.38,100.74,112.6,158.65
"greater_liverpool",58.75,92.05,106.67,120.82,156
"grimsby",53.39,76.28,93.61,100.72,131.67
"guildford",90.68,178.78,226.75,280.76,372.47
"halifax",65.74,81.92,99.47,117.03,149.59
"harlow_and_stortford",75.65,143.84,177.79,213.74,292.98
"harrogate",69.51,112.6,139.26,163.84,220.2
"herefordshire",60.97,93.61,119.37,137.49,176.03
"high_weald",81.07,141.79,184.95,226.98,342.55
"hull_and_east_riding",61.53,70.92,87.77,105.32,134.58
"huntingdon",64.58,113.17,135.94,162.27,207.52
"inner_east_london",110.14,277.66,326.19,382.43,449.94
"inner_north_london",108.71,281.21,326.19,382.43,449.94
"inner_south_east_london",99.71,220.19,286.23,346.43,436.83
"inner_south_west_london",101.83,265.87,326.19,382.43,449.94
"inner_west_london",115.8,254.74,316.69,382.43,449.94
"ipswich",61.86,94.95,120.66,139.68,182.71
"isle_of_wight",69.66,94.71,124.04,152.13,187.24
"kendal",63.56,98.56,129.45,152.59,177.78
"kernow_west",70.27,106.67,134.57,154.08,188.44
"kings_lynn",56.22,92.18,117.54,135.62,170.91
"kirklees",55.94,81.92,98.56,115.86,152.13
"lancaster",60.21,92.45,117.03,134.57,147.9
"leeds",63.37,101.75,124.44,152.13,198.95
"leicester",64.29,87.77,111.18,132.6,165.93
"lincoln",59.9,82.97,101.92,117.03,150.53
"lincolnshire_fens",59.37,92.48,115.93,135.62,160.29
"lowestoft_and_great_yarmouth",65.6,87.7,106.67,119.7,151.71
"luton",67.37,124.28,158.29,188.56,227.25
"maidstone",73.67,133.34,165.05,189.02,239.41
"medway_and_swale",68.22,115.93,144.64,165.1,213.74
"mendip",72.36,94.81,125.68,155.62,192.85
"mid_and_east_devon",71.96,98.61,128.46,154.08,195.55
