ccode,n,brma1,brma2,brma3,brma4,brma5,brma6,brma7,brma8,brma9,brma10
E09000001,1,central_london,,,,,,,,,
E09000002,1,outer_north_east_london,,,,,,,,,
E09000003,3,north_west_london,outer_north_london,inner_north_london,,,,,,,
E09000004,1,outer_south_east_london,,,,,,,,,
E09000005,3,north_west_london,inner_west_london,inner_north_london,,,,,,,
E09000006,2,inner_south_east_london,outer_south_east_london,,,,,,,,
E09000007,2,central_london,inner_north_london,,,,,,,,
E09000008,2,inner_south_east_london,outer_south_london,,,,,,,,
E09000009,4,north_west_london,inner_west_london,outer_west_london,inner_north_london,,,,,,
E09000010,1,outer_north_london,,,,,,,,,
E09000011,2,inner_south_east_london,outer_south_east_london,,,,,,,,
E09000012,3,inner_east_london,central_london,inner_north_london,,,,,,,
E09000013,3,central_london,inner_west_london,inner_north_london,,,,,,,
E09000014,2,outer_north_london,inner_north_london,,,,,,,,
E09000015,1,north_west_london,,,,,,,,,
E09000016,2,south_west_essex,outer_north_east_london,,,,,,,,
E09000017,3,south_west_herts,north_west_london,outer_west_london,,,,,,,
E09000018,3,outer_south_west_london,inner_west_london,outer_west_london,,,,,,,
E09000019,4,inner_east_london,central_london,outer_north_london,inner_north_london,,,,,,
E09000020,2,central_london,inner_north_london,,,,,,,,
E09000021,2,outer_south_west_london,outer_south_london,,,,,,,,
E09000022,2,inner_south_east_london,inner_south_west_london,,,,,,,,
E09000023,2,inner_south_east_london,outer_south_east_london,,,,,,,,
E09000024,3,inner_south_west_london,outer_south_west_london,outer_south_london,,,,,,,
E09000025,1,outer_east_london,,,,,,,,,
E09000026,2,outer_east_london,outer_north_east_london,,,,,,,,
E09000027,3,inner_south_west_london,outer_south_west_london,outer_west_london,,,,,,,
E09000028,1,inner_south_east_london,,,,,,,,,
E09000029,2,outer_south_west_london,outer_south_london,,,,,,,,
E09000030,2,inner_east_london,central_london,,,,,,,,
E09000031,2,outer_east_london,outer_north_east_london,,,,,,,,
E09000032,2,inner_south_west_london,outer_south_west_london,,,,,,,,
E09000033,2,central_london,inner_north_london,,,,,,,,
E08000001,3,wigan,bolton_and_bury,central_lancs,,,,,,,
E08000002,2,bolton_and_bury,central_greater_manchester,,,,,,,,
E08000003,2,southern_greater_manchester,central_greater_manchester,,,,,,,,
E08000004,3,central_greater_manchester,oldham_and_rochdale,tameside_and_glossop,,,,,,,
E08000005,3,bolton_and_bury,central_greater_manchester,oldham_and_rochdale,,,,,,,
E08000006,2,bolton_and_bury,central_greater_manchester,,,,,,,,
E08000007,2,southern_greater_manchester,tameside_and_glossop,,,,,,,,
E08000008,4,southern_greater_manchester,central_greater_manchester,oldham_and_rochdale,tameside_and_glossop,,,,,,
E08000009,2,southern_greater_manchester,central_greater_manchester,,,,,,,,
E08000010,2,wigan,st_helens,,,,,,,,
E08000011,3,greater_liverpool,st_helens,north_cheshire,,,,,,,
E08000012,1,greater_liverpool,,,,,,,,,
E08000013,3,wigan,st_helens,north_cheshire,,,,,,,
E08000014,2,southport,greater_liverpool,,,,,,,,
E08000015,1,wirral,,,,,,,,,
E08000016,4,sheffield,doncaster,kirklees,barnsley,,,,,,
E08000017,2,doncaster,rotherham,,,,,,,,
E08000018,2,sheffield,rotherham,,,,,,,,
E08000019,1,sheffield,,,,,,,,,
E08000037,1,tyneside,,,,,,,,,
E08000021,1,tyneside,,,,,,,,,
E08000022,1,tyneside,,,,,,,,,
E08000023,2,tyneside,sunderland,,,,,,,,
E08000024,2,tyneside,sunderland,,,,,,,,
E08000025,1,birmingham,,,,,,,,,
E08000026,1,coventry,,,,,,,,,
E08000027,1,black_country,,,,,,,,,
E08000028,2,black_country,birmingham,,,,,,,,
E08000029,3,birmingham,solihull,warwickshire_south,,,,,,,
E08000030,2,black_country,birmingham,,,,,,,,
E08000031,1,black_country,,,,,,,,,
E08000032,2,leeds,bradford_and_south_dales,,,,,,,,
E08000033,3,halifax,kirklees,bradford_and_south_dales,,,,,,,
E08000034,2,kirklees,bradford_and_south_dales,,,,,,,,
E08000035,2,leeds,bradford_and_south_dales,,,,,,,,
E08000036,1,wakefield,,,,,,,,,
E06000001,1,teesside,,,,,,,,,
E06000002,1,teesside,,,,,,,,,
E06000003,1,teesside,,,,,,,,,
E06000004,1,teesside,,,,,,,,,
E06000005,1,darlington,,,,,,,,,
E06000047,0,,,,,,,,,,
E06000057,0,,,,,,,,,,
E06000049,0,,,,,,,,,,
E06000006,2,greater_liverpool,north_cheshire,,,,,,,,
E06000007,1,north_cheshire,,,,,,,,,
E06000050,0,,,,,,,,,,
E06000008,2,bolton_and_bury,east_lancs,,,,,,,,
E06000009,1,fylde_coast,,,,,,,,,
E06000010,1,hull_and_east_riding,,,,,,,,,
E06000011,3,doncaster,york,hull_and_east_riding,,,,,,,
E06000012,1,grimsby,,,,,,,,,
E06000013,3,doncaster,grimsby,scunthorpe,,,,,,,
E06000014,1,york,,,,,,,,,
E06000015,1,derby,,,,,,,,,
E06000016,1,leicester,,,,,,,,,
E06000017,3,peterborough,northants_central,leicester,,,,,,,
E06000018,1,nottingham,,,,,,,,,
E06000019,6,herefordshire,worcester_north,worcester_south,gloucester,shropshire,brecon_and_radnor,,,,
E06000020,1,shropshire,,,,,,,,,
E06000051,0,,,,,,,,,,
E06000021,1,staffordshire_north,,,,,,,,,
E06000022,2,bath,bristol,,,,,,,,
E06000023,1,bristol,,,,,,,,,
E06000024,3,weston_s_mare,bath,bristol,,,,,,,
E06000025,5,west_wiltshire,bath,bristol,gloucester,monmouthshire,,,,,
E06000052,0,,,,,,,,,,
E06000053,0,,,,,,,,,,
E06000026,1,plymouth,,,,,,,,,
E06000027,1,south_devon,,,,,,,,,
E06000028,1,bournemouth,,,,,,,,,
E06000029,1,bournemouth,,,,,,,,,
E06000030,1,swindon,,,,,,,,,
E06000054,0,,,,,,,,,,
E06000031,1,peterborough,,,,,,,,,
E06000032,1,luton,,,,,,,,,
E06000055,0,,,,,,,,,,
E06000056,0,,,,,,,,,,
E06000033,1,southend,,,,,,,,,
E06000034,1,south_west_essex,,,,,,,,,
E06000035,2,maidstone,medway_and_swale,,,,,,,,
E06000036,3,reading,blackwater_valley,east_thames_valley,,,,,,,
E06000037,3,reading,newbury,swindon,,,,,,,
E06000038,1,reading,,,,,,,,,
E06000039,1,east_thames_valley,,,,,,,,,
E06000040,4,reading,chilterns,east_thames_valley,walton,,,,,,
E06000041,1,reading,,,,,,,,,
E06000042,1,milton_keynes,,,,,,,,,
E06000043,1,brighton_and_hove,,,,,,,,,
E06000044,1,portsmouth,,,,,,,,,
E06000045,1,southampton,,,,,,,,,
E06000046,1,isle_of_wight,,,,,,,,,
W06000001,1,north_west_wales,,,,,,,,,
W06000002,2,north_west_wales,south_gwynedd,,,,,,,,
W06000003,1,north_clwyd,,,,,,,,,
W06000004,2,north_clwyd,wrexham,,,,,,,,
W06000005,3,west_cheshire,north_clwyd,flintshire,,,,,,,
W06000006,1,wrexham,,,,,,,,,
W06000023,3,north_powys,brecon_and_radnor,neath_port_talbot,,,,,,,
W06000008,1,ceredigion,,,,,,,,,
W06000009,2,ceredigion,pembrokeshire,,,,,,,,
W06000010,1,carmarthenshire,,,,,,,,,
W06000011,1,swansea,,,,,,,,,
W06000012,1,neath_port_talbot,,,,,,,,,
W06000013,1,bridgend,,,,,,,,,
W06000014,1,vale_of_glamorgan,,,,,,,,,
W06000016,2,taff_rhondda,merthyr_cynon,,,,,,,,
W06000024,1,merthyr_cynon,,,,,,,,,
W06000018,1,caerphilly,,,,,,,,,
W06000019,1,blaenau_gwent,,,,,,,,,
W06000020,1,torfaen,,,,,,,,,
W06000021,1,monmouthshire,,,,,,,,,
W06000022,1,newport,,,,,,,,,
W06000015,1,cardiff,,,,,,,,,
S12000033,1,abdn_and_shire,,,,,,,,,
S12000034,3,hlndisles,abdn_and_shire,ddeeangus,,,,,,,
S12000041,2,abdn_and_shire,ddeeangus,,,,,,,,
S12000035,1,argyll_and_bute,,,,,,,,,
S12000026,1,borders,,,,,,,,,
S12000005,2,fife,forth_valley,,,,,,,,
S12000039,2,argyll_and_bute,west_dunbarton,,,,,,,,
S12000006,2,south_lanarkshire,dumfries_and_galloway,,,,,,,,
S12000042,1,ddeeangus,,,,,,,,,
S12000008,1,ayrshire,,,,,,,,,
S12000045,2,east_dunbarton,north_lanarkshire,,,,,,,,
S12000010,1,lothians,,,,,,,,,
S12000011,2,renfrewshire_or_inverclyde,greater_glasgow,,,,,,,,
S12000036,1,lothians,,,,,,,,,
S12000014,2,westlothian,forth_valley,,,,,,,,
S12000015,1,fife,,,,,,,,,
S12000043,3,south_lanarkshire,renfrewshire_or_inverclyde,greater_glasgow,,,,,,,
S12000017,2,hlndisles,argyll_and_bute,,,,,,,,
S12000018,0,,,,,,,,,,
S12000019,1,lothians,,,,,,,,,
S12000020,2,hlndisles,abdn_and_shire,,,,,,,,
S12000021,1,ayrshire,,,,,,,,,
S12000044,2,north_lanarkshire,south_lanarkshire,,,,,,,,
S12000023,1,hlndisles,,,,,,,,,
S12000024,4,fife,perthkross,ddeeangus,forth_valley,,,,,,
S12000038,2,ayrshire,renfrewshire_or_inverclyde,,,,,,,,
S12000027,1,hlndisles,,,,,,,,,
S12000028,1,ayrshire,,,,,,,,,
