	LHA April 2020						Calendar Monthly Equivalent				
BRMA	CAT A	CAT B	CAT C	CAT D	CAT E		CAT A	CAT B	CAT C	CAT D	CAT E
Ashford	70.28	128.49	152.34	181.26	234.26		305.38	558.32	661.95	787.62	1017.92
Aylesbury	74.00	137.34	170.05	214.09	296.29		321.55	596.78	738.91	930.27	1287.45
Barnsley	59.06	73.96	88.90	101.49	139.26		256.63	321.37	386.29	441.00	605.12
Barrow-in-Furness	68.24	79.33	93.61	112.35	139.26		296.52	344.71	406.76	488.19	605.12
Basingstoke	69.33	140.39	169.68	201.42	271.18		301.26	610.03	737.30	875.22	1178.34
Bath	75.93	146.45	175.18	204.85	314.94		329.93	636.36	761.20	890.12	1368.49
Bedford	67.09	111.15	143.84	173.78	225.57		291.52	482.97	625.02	755.12	980.16
Birmingham	58.31	103.57	129.79	138.27	176.36		253.37	450.04	563.97	600.82	766.33
Black Country	60.18	87.77	106.67	126.01	154.08		261.50	381.38	463.51	547.54	669.51
Blackwater Valley	81.28	147.95	179.56	214.28	317.30		353.18	642.88	780.23	931.10	1378.74
Bolton and Bury	54.08	85.43	100.64	120.30	155.19		234.99	371.21	437.30	522.73	674.34
Bournemouth	66.59	125.68	160.29	197.76	257.45		289.35	546.11	696.50	859.31	1118.68
Bradford & South Dales	61.03	80.55	99.47	113.73	125.68		265.19	350.01	432.22	494.18	546.11
Brighton and Hove	84.07	160.29	207.67	241.22	355.48		365.30	696.50	902.38	1048.16	1544.65
Bristol	72.68	134.68	163.46	195.29	261.46		315.81	585.22	710.27	848.58	1136.11
Bury St Edmunds	69.20	107.11	136.28	162.23	226.26		300.69	465.42	592.17	704.93	983.15
Cambridge	81.89	135.99	156.40	181.75	242.43		355.83	590.91	679.60	789.75	1053.42
Canterbury	77.59	125.97	162.17	189.02	285.37		337.15	547.37	704.67	821.34	1240.00
Central Greater Manchester	68.34	106.83	125.68	139.65	189.64		296.95	464.20	546.11	606.81	824.03
Central Lancs	56.22	90.90	111.18	128.73	163.84		244.29	394.98	483.10	559.36	711.92
Central London	147.30	281.21	326.19	382.43	449.94		640.05	1221.92	1417.37	1661.75	1955.10
Central Norfolk & Norwich	64.37	97.40	122.06	141.79	187.24		279.70	423.23	530.38	616.11	813.60
Chelmsford	74.53	131.99	163.46	199.92	250.23		323.85	573.53	710.27	868.70	1087.31
Cheltenham	71.60	113.73	145.78	177.40	244.68		311.12	494.18	633.45	770.85	1063.19
Cherwell Valley	74.78	136.24	165.05	196.80	252.57		324.94	592.00	717.18	855.14	1097.48
Chesterfield	53.36	81.92	99.47	115.86	152.13		231.86	355.96	432.22	503.44	661.04
Chichester	77.08	136.30	170.86	207.52	272.59		334.93	592.26	742.43	901.72	1184.47
Chilterns	77.14	156.90	202.76	247.57	349.90		335.19	681.77	881.04	1075.75	1520.40
Colchester	65.88	108.48	138.61	168.75	214.20		286.26	471.37	602.29	733.26	930.75
Coventry	70.83	93.61	116.77	134.28	178.78		307.77	406.76	507.39	583.48	776.84
Crawley & Reigate	85.83	163.46	200.47	233.12	324.38		372.95	710.27	871.09	1012.96	1409.51
Darlington	63.96	76.15	92.05	108.93	151.71		277.92	330.89	399.98	473.33	659.22
Derby	59.82	86.19	105.32	119.70	157.98		259.93	374.52	457.64	520.13	686.46
Doncaster	56.06	79.41	94.81	105.32	146.29		243.59	345.06	411.97	457.64	635.66
Dover-Shepway	61.89	90.40	117.03	146.29	170.86		268.93	392.81	508.52	635.66	742.43
Durham	65.00	74.79	87.45	99.47	140.38		282.44	324.98	379.99	432.22	609.98
East Cheshire	74.27	105.32	132.24	170.86	253.84		322.72	457.64	574.61	742.43	1103.00
East Lancs	54.41	81.39	92.45	105.77	145.23		236.42	353.66	401.72	459.60	631.06
East Thames Valley	79.90	163.46	209.23	256.53	340.12		347.18	710.27	909.15	1114.68	1477.90
Eastbourne	70.18	125.73	158.70	191.11	239.34		304.95	546.33	689.59	830.42	1039.99
Eastern Staffordshire	61.06	85.46	105.32	125.68	165.16		265.32	371.34	457.64	546.11	717.66
Exeter	75.60	118.50	143.64	167.59	222.35		328.50	514.91	624.15	728.22	966.16
Fylde Coast	61.78	85.00	114.61	132.21	150.00		268.45	369.35	498.01	574.48	651.79
Gloucester	71.42	93.61	128.17	154.12	196.03		310.34	406.76	556.93	669.69	851.80
Grantham & Newark	61.84	79.38	100.74	112.60	158.65		268.71	344.93	437.74	489.27	689.37
Greater Liverpool	58.75	92.05	106.67	120.82	156.00		255.28	399.98	463.51	524.99	677.86
Grimsby	53.39	76.28	93.61	100.72	131.67		231.99	331.45	406.76	437.65	572.14
Guildford	90.68	178.78	226.75	280.76	372.47		394.03	776.84	985.28	1219.97	1618.47
Halifax	65.74	81.92	99.47	117.03	149.59		285.66	355.96	432.22	508.52	650.00
Harlow & Stortford	75.65	143.84	177.79	213.74	292.98		328.72	625.02	772.54	928.75	1273.07
Harrogate	69.51	112.60	139.26	163.84	220.20		302.04	489.27	605.12	711.92	956.82
Herefordshire	60.97	93.61	119.37	137.49	176.03		264.93	406.76	518.69	597.43	764.89
High Weald	81.07	141.79	184.95	226.98	342.55		352.27	616.11	803.65	986.28	1488.46
Hull & East Riding	61.53	70.92	87.77	105.32	134.58		267.36	308.16	381.38	457.64	584.78
Huntingdon	64.58	113.17	135.94	162.27	207.52		280.62	491.75	590.69	705.10	901.72
Inner East London	110.14	277.66	326.19	382.43	449.94		478.58	1206.50	1417.37	1661.75	1955.10
Inner North London	108.71	281.21	326.19	382.43	449.94		472.37	1221.92	1417.37	1661.75	1955.10
Inner South East London	99.71	220.19	286.23	346.43	436.83		433.26	956.78	1243.74	1505.32	1898.13
Inner South West London	101.83	265.87	326.19	382.43	449.94		442.48	1155.27	1417.37	1661.75	1955.10
Inner West London	115.80	254.74	316.69	382.43	449.94		503.18	1106.91	1376.09	1661.75	1955.10
Ipswich	61.86	94.95	120.66	139.68	182.71		268.80	412.58	524.30	606.94	793.92
